                               Prefix Verb     URI Pattern                                                         Controller#Action
                     admin_suggestion GET      /admin/suggestions/:id(.:format)                                    admin/suggestions#show
                                      PATCH    /admin/suggestions/:id(.:format)                                    admin/suggestions#update
                                      PUT      /admin/suggestions/:id(.:format)                                    admin/suggestions#update
                                      DELETE   /admin/suggestions/:id(.:format)                                    admin/suggestions#destroy
                  admin_announcements GET      /admin/announcements(.:format)                                      admin/announcements#index
                                      POST     /admin/announcements(.:format)                                      admin/announcements#create
               new_admin_announcement GET      /admin/announcements/new(.:format)                                  admin/announcements#new
              edit_admin_announcement GET      /admin/announcements/:id/edit(.:format)                             admin/announcements#edit
                   admin_announcement GET      /admin/announcements/:id(.:format)                                  admin/announcements#show
                                      PATCH    /admin/announcements/:id(.:format)                                  admin/announcements#update
                                      PUT      /admin/announcements/:id(.:format)                                  admin/announcements#update
                                      DELETE   /admin/announcements/:id(.:format)                                  admin/announcements#destroy
                       admin_projects GET      /admin/projects(.:format)                                           admin/projects#index
                                      POST     /admin/projects(.:format)                                           admin/projects#create
                    new_admin_project GET      /admin/projects/new(.:format)                                       admin/projects#new
                   edit_admin_project GET      /admin/projects/:id/edit(.:format)                                  admin/projects#edit
                        admin_project GET      /admin/projects/:id(.:format)                                       admin/projects#show
                                      PATCH    /admin/projects/:id(.:format)                                       admin/projects#update
                                      PUT      /admin/projects/:id(.:format)                                       admin/projects#update
                                      DELETE   /admin/projects/:id(.:format)                                       admin/projects#destroy
                        admin_notices GET      /admin/notices(.:format)                                            admin/notices#index
                                      POST     /admin/notices(.:format)                                            admin/notices#create
                     new_admin_notice GET      /admin/notices/new(.:format)                                        admin/notices#new
                    edit_admin_notice GET      /admin/notices/:id/edit(.:format)                                   admin/notices#edit
                         admin_notice GET      /admin/notices/:id(.:format)                                        admin/notices#show
                                      PATCH    /admin/notices/:id(.:format)                                        admin/notices#update
                                      PUT      /admin/notices/:id(.:format)                                        admin/notices#update
                                      DELETE   /admin/notices/:id(.:format)                                        admin/notices#destroy
                      admin_galleries GET      /admin/galleries(.:format)                                          admin/galleries#index
                                      POST     /admin/galleries(.:format)                                          admin/galleries#create
                    new_admin_gallery GET      /admin/galleries/new(.:format)                                      admin/galleries#new
                   edit_admin_gallery GET      /admin/galleries/:id/edit(.:format)                                 admin/galleries#edit
                        admin_gallery GET      /admin/galleries/:id(.:format)                                      admin/galleries#show
                                      PATCH    /admin/galleries/:id(.:format)                                      admin/galleries#update
                                      PUT      /admin/galleries/:id(.:format)                                      admin/galleries#update
                                      DELETE   /admin/galleries/:id(.:format)                                      admin/galleries#destroy
    admin_gallery_gallery_attachments GET      /admin/galleries/:gallery_id/gallery_attachments(.:format)          admin/gallery_attachments#index
                                      POST     /admin/galleries/:gallery_id/gallery_attachments(.:format)          admin/gallery_attachments#create
 new_admin_gallery_gallery_attachment GET      /admin/galleries/:gallery_id/gallery_attachments/new(.:format)      admin/gallery_attachments#new
edit_admin_gallery_gallery_attachment GET      /admin/galleries/:gallery_id/gallery_attachments/:id/edit(.:format) admin/gallery_attachments#edit
     admin_gallery_gallery_attachment GET      /admin/galleries/:gallery_id/gallery_attachments/:id(.:format)      admin/gallery_attachments#show
                                      PATCH    /admin/galleries/:gallery_id/gallery_attachments/:id(.:format)      admin/gallery_attachments#update
                                      PUT      /admin/galleries/:gallery_id/gallery_attachments/:id(.:format)      admin/gallery_attachments#update
                                      DELETE   /admin/galleries/:gallery_id/gallery_attachments/:id(.:format)      admin/gallery_attachments#destroy
                     admin_categories GET      /admin/categories(.:format)                                         admin/categories#index
                                      POST     /admin/categories(.:format)                                         admin/categories#create
                   new_admin_category GET      /admin/categories/new(.:format)                                     admin/categories#new
                  edit_admin_category GET      /admin/categories/:id/edit(.:format)                                admin/categories#edit
                       admin_category PATCH    /admin/categories/:id(.:format)                                     admin/categories#update
                                      PUT      /admin/categories/:id(.:format)                                     admin/categories#update
                                      DELETE   /admin/categories/:id(.:format)                                     admin/categories#destroy
                       admin_comments GET      /admin/comments(.:format)                                           admin/comments#index
                                      POST     /admin/comments(.:format)                                           admin/comments#create
                        admin_comment GET      /admin/comments/:id(.:format)                                       admin/comments#show
                                      DELETE   /admin/comments/:id(.:format)                                       admin/comments#destroy
                  gallery_attachments GET      /gallery_attachments(.:format)                                      gallery_attachments#index
                                      POST     /gallery_attachments(.:format)                                      gallery_attachments#create
               new_gallery_attachment GET      /gallery_attachments/new(.:format)                                  gallery_attachments#new
              edit_gallery_attachment GET      /gallery_attachments/:id/edit(.:format)                             gallery_attachments#edit
                   gallery_attachment GET      /gallery_attachments/:id(.:format)                                  gallery_attachments#show
                                      PATCH    /gallery_attachments/:id(.:format)                                  gallery_attachments#update
                                      PUT      /gallery_attachments/:id(.:format)                                  gallery_attachments#update
                                      DELETE   /gallery_attachments/:id(.:format)                                  gallery_attachments#destroy
                            galleries GET      /galleries(.:format)                                                galleries#index
                                      POST     /galleries(.:format)                                                galleries#create
                          new_gallery GET      /galleries/new(.:format)                                            galleries#new
                         edit_gallery GET      /galleries/:id/edit(.:format)                                       galleries#edit
                              gallery GET      /galleries/:id(.:format)                                            galleries#show
                                      PATCH    /galleries/:id(.:format)                                            galleries#update
                                      PUT      /galleries/:id(.:format)                                            galleries#update
                                      DELETE   /galleries/:id(.:format)                                            galleries#destroy
                 categories_downloads GET      /categories/downloads(.:format)                                     categories#downloads
                          polls_chart GET      /polls/chart(.:format)                                              polls#chart
                            downloads GET      /downloads(.:format)                                                downloads#index
                                      POST     /downloads(.:format)                                                downloads#create
                         new_download GET      /downloads/new(.:format)                                            downloads#new
                        edit_download GET      /downloads/:id/edit(.:format)                                       downloads#edit
                             download GET      /downloads/:id(.:format)                                            downloads#show
                                      PATCH    /downloads/:id(.:format)                                            downloads#update
                                      PUT      /downloads/:id(.:format)                                            downloads#update
                                      DELETE   /downloads/:id(.:format)                                            downloads#destroy
                       pages_download GET      /pages/download(.:format)                                           pages#download
                          suggestions GET      /suggestions(.:format)                                              suggestions#index
                                      POST     /suggestions(.:format)                                              suggestions#create
                       new_suggestion GET      /suggestions/new(.:format)                                          suggestions#new
                      edit_suggestion GET      /suggestions/:id/edit(.:format)                                     suggestions#edit
                           suggestion GET      /suggestions/:id(.:format)                                          suggestions#show
                                      PATCH    /suggestions/:id(.:format)                                          suggestions#update
                                      PUT      /suggestions/:id(.:format)                                          suggestions#update
                                      DELETE   /suggestions/:id(.:format)                                          suggestions#destroy
                        announcements GET      /announcements(.:format)                                            announcements#index
                                      POST     /announcements(.:format)                                            announcements#create
                     new_announcement GET      /announcements/new(.:format)                                        announcements#new
                    edit_announcement GET      /announcements/:id/edit(.:format)                                   announcements#edit
                         announcement GET      /announcements/:id(.:format)                                        announcements#show
                                      PATCH    /announcements/:id(.:format)                                        announcements#update
                                      PUT      /announcements/:id(.:format)                                        announcements#update
                                      DELETE   /announcements/:id(.:format)                                        announcements#destroy
                                polls GET      /polls(.:format)                                                    polls#index
                                      POST     /polls(.:format)                                                    polls#create
                             new_poll GET      /polls/new(.:format)                                                polls#new
                            edit_poll GET      /polls/:id/edit(.:format)                                           polls#edit
                                 poll GET      /polls/:id(.:format)                                                polls#show
                                      PATCH    /polls/:id(.:format)                                                polls#update
                                      PUT      /polls/:id(.:format)                                                polls#update
                                      DELETE   /polls/:id(.:format)                                                polls#destroy
user_google_oauth2_omniauth_authorize GET|POST /users/auth/google_oauth2(.:format)                                 users/omniauth_callbacks#passthru
 user_google_oauth2_omniauth_callback GET|POST /users/auth/google_oauth2/callback(.:format)                        users/omniauth_callbacks#google_oauth2
                     new_user_session GET      /users/sign_in(.:format)                                            devise/sessions#new
                         user_session POST     /users/sign_in(.:format)                                            devise/sessions#create
                 destroy_user_session DELETE   /users/sign_out(.:format)                                           devise/sessions#destroy
                    new_user_password GET      /users/password/new(.:format)                                       devise/passwords#new
                   edit_user_password GET      /users/password/edit(.:format)                                      devise/passwords#edit
                        user_password PATCH    /users/password(.:format)                                           devise/passwords#update
                                      PUT      /users/password(.:format)                                           devise/passwords#update
                                      POST     /users/password(.:format)                                           devise/passwords#create
             cancel_user_registration GET      /users/cancel(.:format)                                             devise/registrations#cancel
                new_user_registration GET      /users/sign_up(.:format)                                            devise/registrations#new
               edit_user_registration GET      /users/edit(.:format)                                               devise/registrations#edit
                    user_registration PATCH    /users(.:format)                                                    devise/registrations#update
                                      PUT      /users(.:format)                                                    devise/registrations#update
                                      DELETE   /users(.:format)                                                    devise/registrations#destroy
                                      POST     /users(.:format)                                                    devise/registrations#create
          gallery_gallery_attachments GET      /galleries/:gallery_id/gallery_attachments(.:format)                gallery_attachments#index
                                      POST     /galleries/:gallery_id/gallery_attachments(.:format)                gallery_attachments#create
       new_gallery_gallery_attachment GET      /galleries/:gallery_id/gallery_attachments/new(.:format)            gallery_attachments#new
      edit_gallery_gallery_attachment GET      /galleries/:gallery_id/gallery_attachments/:id/edit(.:format)       gallery_attachments#edit
           gallery_gallery_attachment GET      /galleries/:gallery_id/gallery_attachments/:id(.:format)            gallery_attachments#show
                                      PATCH    /galleries/:gallery_id/gallery_attachments/:id(.:format)            gallery_attachments#update
                                      PUT      /galleries/:gallery_id/gallery_attachments/:id(.:format)            gallery_attachments#update
                                      DELETE   /galleries/:gallery_id/gallery_attachments/:id(.:format)            gallery_attachments#destroy
                                      GET      /galleries(.:format)                                                galleries#index
                                      POST     /galleries(.:format)                                                galleries#create
                                      GET      /galleries/new(.:format)                                            galleries#new
                                      GET      /galleries/:id/edit(.:format)                                       galleries#edit
                                      GET      /galleries/:id(.:format)                                            galleries#show
                                      PATCH    /galleries/:id(.:format)                                            galleries#update
                                      PUT      /galleries/:id(.:format)                                            galleries#update
                                      DELETE   /galleries/:id(.:format)                                            galleries#destroy
                                posts GET      /posts(.:format)                                                    posts#index
                                      POST     /posts(.:format)                                                    posts#create
                             new_post GET      /posts/new(.:format)                                                posts#new
                            edit_post GET      /posts/:id/edit(.:format)                                           posts#edit
                                 post GET      /posts/:id(.:format)                                                posts#show
                                      PATCH    /posts/:id(.:format)                                                posts#update
                                      PUT      /posts/:id(.:format)                                                posts#update
                                      DELETE   /posts/:id(.:format)                                                posts#destroy
                    like_post_comment PUT      /posts/:post_id/comments/:id/like(.:format)                         comments#upvote
                  unlike_post_comment PUT      /posts/:post_id/comments/:id/unlike(.:format)                       comments#downvote
                        post_comments GET      /posts/:post_id/comments(.:format)                                  comments#index
                                      POST     /posts/:post_id/comments(.:format)                                  comments#create
                     new_post_comment GET      /posts/:post_id/comments/new(.:format)                              comments#new
                    edit_post_comment GET      /posts/:post_id/comments/:id/edit(.:format)                         comments#edit
                         post_comment GET      /posts/:post_id/comments/:id(.:format)                              comments#show
                                      PATCH    /posts/:post_id/comments/:id(.:format)                              comments#update
                                      PUT      /posts/:post_id/comments/:id(.:format)                              comments#update
                                      DELETE   /posts/:post_id/comments/:id(.:format)                              comments#destroy
                            like_post PUT      /posts/:id/like(.:format)                                           posts#upvote
                          unlike_post PUT      /posts/:id/unlike(.:format)                                         posts#downvote
                                      GET      /posts(.:format)                                                    posts#index
                                      POST     /posts(.:format)                                                    posts#create
                                      GET      /posts/new(.:format)                                                posts#new
                                      GET      /posts/:id/edit(.:format)                                           posts#edit
                                      GET      /posts/:id(.:format)                                                posts#show
                                      PATCH    /posts/:id(.:format)                                                posts#update
                                      PUT      /posts/:id(.:format)                                                posts#update
                                      DELETE   /posts/:id(.:format)                                                posts#destroy
                                 root GET      /                                                                   home#index
                                  tag GET      /tags/:tag(.:format)                                                posts#index

Routes for Ckeditor::Engine:
        pictures GET    /pictures(.:format)             ckeditor/pictures#index
                 POST   /pictures(.:format)             ckeditor/pictures#create
         picture DELETE /pictures/:id(.:format)         ckeditor/pictures#destroy
attachment_files GET    /attachment_files(.:format)     ckeditor/attachment_files#index
                 POST   /attachment_files(.:format)     ckeditor/attachment_files#create
 attachment_file DELETE /attachment_files/:id(.:format) ckeditor/attachment_files#destroy

Routes for PdfjsViewer::Rails::Engine:
minimal GET  /minimal(.:format) pdfjs_viewer/viewer#minimal
reduced GET  /reduced(.:format) pdfjs_viewer/viewer#reduced
   full GET  /full(.:format)    pdfjs_viewer/viewer#full
